number,State,population,population category,State2,score final,Website,TLS Level,Certificate Expiry,Certificate Signed,Country Code,Domain,cert_type,Country Code2,SWEET 32,Certificate Issuer,HTTP Check,HEARTBLEED,HSTS_CHECK,PORT 80,POODLE,DROWN,FREAK,County_site,Number of Open Ports,protocol1,protocol2,protocol3,protocol4,protocol5,protocol6,protocol7
1,AK,293531,"250,000 to 499,999",AK,12,anchorage.net,TLS 1.2, not expired, not self-signed, US, .net, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,anchorage.net,0,,,,,,,
2,AK,875,"1 to 75,000",AK,8,bristolbayboroughak.us,No TLS, not expired, not self-signed, Unknown, .us, non-EV, Unknown, NOT VULNERABLE, not found,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,bristolbayboroughak.us,1,,,,,,,
3,AK,3257,"1 to 75,000",AK,12,ci.petersburg.ak.us,TLS 1.2, not expired, not self-signed, US, .us, non-EV, US, NOT VULNERABLE, R3,Unknown,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,ci.petersburg.ak.us,0,,,,,,,
4,AK,99072,"75,001 to 149,999",AK,12,co.fairbanks.ak.us,TLS 1.2, not expired, not self-signed, US, .us, EV, GB, NOT VULNERABLE, Sectigo RSA Domain Validation Secure Server CA,HTTP/1.1 302 Found,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,co.fairbanks.ak.us,0,,,,,,,
5,AK,2246,"1 to 75,000",AK,11,denaliborough.org,TLS 1.2, not expired, not self-signed, US, .org, EV, US, NOT VULNERABLE, R3,Unknown,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,denaliborough.org,0,,,,,,,
6,AK,2518,"1 to 75,000",AK,15,hainesalaska.gov,TLS 1.3, not expired, not self-signed, US, .gov, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,hainesalaska.gov,0,,,,,,,
7,AK,32227,"1 to 75,000",AK,13,juneau.org,TLS 1.3, not expired, not self-signed, US, .org, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,juneau.org,1,ssh,,,,,,
8,AK,13451,"1 to 75,000",AK,13,kodiakak.us,TLS 1.2, not expired, not self-signed, US, .us, non-EV, US, NOT VULNERABLE, Go Daddy Secure Certificate Authority - G2,HTTP/1.1 302 Found,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,kodiakak.us,1,ftp,,,,,,
9,AK,58464,"1 to 75,000",AK,14,kpb.us,TLS 1.3, not expired, not self-signed, US, .us, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 302 Found,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,kpb.us,1,ftp,,,,,,
10,AK,1393,"1 to 75,000",AK,10,lakeandpen.com,TLS 1.2, expired, not self-signed, US, .com, non-EV, US, NOT VULNERABLE, Trusted Secure Certificate Authority 5,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,lakeandpen.com,0,,,,,,,
11,AK,105369,"75,001 to 149,999",AK,15,matsugov.us,TLS 1.3, not expired, not self-signed, US, .us, EV, US, NOT VULNERABLE, Entrust Certification Authority - L1K,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,Strict Transport Security Found,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,matsugov.us,0,,,,,,,
12,AK,9988,"1 to 75,000",AK,9,nomealaska.org,TLS 1.2, not expired,self-signed, Unknown, .org, non-EV, Unknown, NOT VULNERABLE, not found,Unknown,NOT VULNERABLE,No HSTS,Closed,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,nomealaska.org,0,,,,,,,
13,AK,9792,"1 to 75,000",AK,10,north-slope.org,TLS 1.2, not expired, not self-signed, US, .org, EV, US,VULNERABLE, DigiCert TLS RSA SHA256 2020 CA1,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,north-slope.org,2,ftp,ssh,,,,,
14,AK,7715,"1 to 75,000",AK,13,nwabor.org,TLS 1.3, not expired, not self-signed, US, .org, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,nwabor.org,1,ssh,,,,,,
15,AK,1107,"1 to 75,000",AK,13,skagway.com,TLS 1.3, not expired, not self-signed, US, .com, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,skagway.com,10,ftp,ssh,dns,,,,
16,AK,0,STATE,AK,12,alaska.gov,TLS 1.2, not expired, not self-signed, US, .gov, non-EV, US,VULNERABLE, GlobalSign Organization Validation CA - SHA256 - G2,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,alaska.gov,0,,,,,,,
17,AL,55380,"1 to 75,000",AL,12,autaugaco.org,TLS 1.2, not expired, not self-signed, US, .org, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,autaugaco.org,8,ssh,smtp,,,,,
