alaska.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
autaugaco.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
elmoreco.org;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
chiltoncounty.org;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
etowahcounty.org;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
coosacountyal.com;TLS 1.3;certificate; expired;;certficate; not self-signed;Country Code; BE;domain; .com;
co.escambia.al.us;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;
lowndescountycommission-al.com;No TLS;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; .com;
blountcountyal.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
stclairco.com;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
alabamagis.com;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
dekalbcountyal.us;unknown;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; .us;
cleburnecounty.us;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;
tallaco.com;No TLS;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; .com;
talladegacountyal.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
sumtercountyal.com;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
crenshawcountyalonline.com;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
bibbal.com;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
baldwincountyal.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
co.cullman.al.us;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; BE;domain; .us;
pickenscountyal.com;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
dallascounty-al.org;unknown;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; .org;
monroecountyonline.com;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
marengocountyal.com;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
madisoncountyal.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
mc-ala.org;No TLS;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; .org;
jccal.org;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
lauderdalecountyal.gov;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
Choctaw - NA;unknown;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; unknown;
mobilecountyal.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
co.morgan.al.us;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; BE;domain; .us;
marshallco.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
shelbyal.com;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
alabamagis.com;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
leeco.us;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; .us;
pike;unknown;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; unknown;
colbertcounty.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
fayetteal.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
